,accuracy,precision,recall,f1
perceptron,0.7473728885493591,0.750532574856032,0.7476198462613557,0.7268016955157857
logistic,0.7695696460402343,0.754406646541431,0.7225779175401816,0.7319894027068099
linear_svm,0.7721755368814192,0.7590736885345046,0.7229091544374564,0.7329241521767937
rbf_svm,0.7708938120702827,0.7580147114637071,0.7202054507337526,0.7303582127618155
mlp,0.9166666666666666,0.9285714285714286,0.8246268656716418,0.8735177865612648
